Timestamp,Participant_ID,Phase_ID,Mission_Title,Condition,Phase_Label,Title,Round_Count,Chat_Count,Started_At,Ended_At
2026-06-15T01:09:07.824938,P_QUAL_TEST_001,text_travel_b_run1_phase_2,文字任務 1,B,Phase 2,大量資訊整理任務,4,1,2026-06-14T17:08:58.832Z,2026-06-14T17:09:07.820Z
2026-06-15T01:09:17.607281,P_QUAL_TEST_001,text_travel_b_run1_phase_3,文字任務 1,B,Phase 3,突發變更與重新規劃,6,1,2026-06-14T17:09:07.883Z,2026-06-14T17:09:17.587Z
2026-06-15T01:09:18.857961,P_QUAL_TEST_001,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T17:09:17.662Z,2026-06-14T17:09:18.853Z
2026-06-15T01:09:20.248850,P_QUAL_TEST_001,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-14T17:09:18.897Z,2026-06-14T17:09:20.245Z
2026-06-15T01:09:22.561268,P_QUAL_TEST_001,voice_restaurant_a_run1_phase_2,語音任務 1,A,Phase 2,語音決策與討論,1,1,2026-06-14T17:09:20.308Z,2026-06-14T17:09:22.557Z
2026-06-15T01:09:25.787113,P_QUAL_TEST_001,voice_restaurant_a_run1_phase_3,語音任務 1,A,Phase 3,AI 回覆後修正與確認,1,1,2026-06-14T17:09:22.605Z,2026-06-14T17:09:25.783Z
2026-06-15T01:09:27.315160,P_QUAL_TEST_001,voice_questionnaire_run1,語音任務 1 問卷,,Info,餐廳語音任務問卷,0,0,2026-06-14T17:09:25.845Z,2026-06-14T17:09:27.311Z
2026-06-15T01:09:28.160208,P_QUAL_TEST_001,end,實驗結束,,Info,完成實驗,0,0,2026-06-14T17:09:27.365Z,2026-06-14T17:09:28.156Z
2026-06-15T01:13:48.372546,P_QUAL_TEST_001,phase0_baseline,Phase 0｜基準測試,,Phase 0,打字速度與語音節奏基準測試,0,0,2026-06-14T17:13:38.013Z,2026-06-14T17:13:48.223Z
2026-06-15T01:13:49.038359,P_QUAL_TEST_001,intro,實驗介紹,,Info,實驗內容介紹,0,0,2026-06-14T17:13:48.444Z,2026-06-14T17:13:49.033Z
2026-06-15T01:14:06.547957,P_QUAL_TEST_001,text_travel_b_run1_phase_1,文字任務 1,B,Phase 1,初始旅遊規劃,6,1,2026-06-14T17:13:49.086Z,2026-06-14T17:14:06.522Z
2026-06-15T01:14:12.536052,P_QUAL_TEST_001,text_travel_b_run1_phase_2,文字任務 1,B,Phase 2,大量資訊整理任務,4,1,2026-06-14T17:14:06.611Z,2026-06-14T17:14:12.532Z
2026-06-15T01:14:21.447448,P_QUAL_TEST_001,text_travel_b_run1_phase_3,文字任務 1,B,Phase 3,突發變更與重新規劃,6,1,2026-06-14T17:14:12.596Z,2026-06-14T17:14:21.442Z
2026-06-15T01:14:22.526472,P_QUAL_TEST_001,text_questionnaire_run1,文字任務 1 問卷,,Info,文字旅遊任務問卷,0,0,2026-06-14T17:14:21.491Z,2026-06-14T17:14:22.522Z
2026-06-15T01:14:23.069776,P_QUAL_TEST_001,voice_restaurant_a_run1_phase_1,語音任務 1,A,Phase 1,情境記憶階段,0,1,2026-06-14T17:14:22.584Z,2026-06-14T17:14:23.033Z
2026-06-15T01:14:25.357815,P_QUAL_TEST_001,voice_restaurant_a_run1_phase_2,語音任務 1,A,Phase 2,語音決策與討論,1,1,2026-06-14T17:14:23.125Z,2026-06-14T17:14:25.353Z
