Timestamp,Subject_ID,Chat_ID,Phase_ID,Scenario,Trigger_Type,Recovery_Time_ms,Migration_Time_ms,Tokens,Rounds,Input_Length
2026-06-14T23:51:13.392402,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:51:15.418575,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:51:17.292271,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:51:18.800845,1,chat_1781452232238_cbcauu,,A,manual,0,0,63,7,8
2026-06-14T23:53:46.127490,1,chat_1781452232239_cjriru,,A,auto_vad,0,0,72,1,7
2026-06-14T23:53:56.785323,1,chat_1781452232239_cjriru,,A,auto_vad,0,0,209,2,5
2026-06-15T00:25:13.111286,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,9,1,8
2026-06-15T00:25:14.795968,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,18,2,8
2026-06-15T00:25:17.000439,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,27,3,8
2026-06-15T00:25:18.586619,2,chat_1781454292091_ifokm1,,B,manual_enter,0,0,36,4,8
2026-06-15T00:25:20.414573,2,chat_1781454292091_ifokm1,,B,manual_enter,0,0,45,5,8
2026-06-15T00:25:22.708439,2,chat_1781454292091_ifokm1,,B,manual_enter,0,0,54,6,8
2026-06-15T00:25:25.372312,2,chat_1781454292091_ifokm1,,B,manual_enter,0,0,63,7,8
2026-06-15T00:25:27.415010,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,72,8,8
2026-06-15T00:25:29.293875,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,81,9,8
2026-06-15T00:25:31.206079,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,90,10,8
2026-06-15T00:25:34.291376,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,99,11,8
2026-06-15T00:25:36.906311,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,108,12,8
2026-06-15T00:25:38.782806,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,117,13,8
2026-06-15T00:25:40.582100,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,126,14,8
2026-06-15T00:25:42.393115,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,135,15,8
2026-06-15T00:25:44.332755,2,chat_1781454292091_ifokm1,,B,manual_button,0,0,144,16,8
2026-06-15T00:25:57.362508,2,chat_1781454292091_2slbo4,,A,auto_vad,0,0,98,1,61
2026-06-15T00:26:06.391456,2,chat_1781454292091_2slbo4,,A,auto_vad,0,0,260,2,9
2026-06-15T00:27:46.657523,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,12,1,8
2026-06-15T00:27:48.238284,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,21,2,8
2026-06-15T00:27:49.918884,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,30,3,8
2026-06-15T00:27:51.302061,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,39,4,8
2026-06-15T00:27:53.458918,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,48,5,8
2026-06-15T00:27:54.893680,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,57,6,8
2026-06-15T00:27:56.408906,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,66,7,8
2026-06-15T00:27:57.938637,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:27:59.673800,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:01.341593,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:03.246062,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:06.348520,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:07.877420,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:09.385832,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:10.822360,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:12.862443,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:14.313797,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:15.726677,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:16.996516,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:18.466238,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:19.692514,9,chat_1781454448294_lw4d4y,,A,manual_button,0,0,63,7,8
2026-06-15T00:28:32.648267,9,chat_1781454448294_kyhdfa,,B,manual_voice_submit,0,0,97,1,15
2026-06-15T00:28:34.606321,9,chat_1781454448294_kyhdfa,,B,manual_button,0,0,108,2,8
2026-06-15T00:28:38.398701,9,chat_1781454448294_kyhdfa,,B,manual_button,0,0,117,3,8
